,var1(t-24),var2(t-24),var3(t-24),var4(t-24),var5(t-24),var1(t-23),var2(t-23),var3(t-23),var4(t-23),var5(t-23),var1(t-22),var2(t-22),var3(t-22),var4(t-22),var5(t-22),var1(t-21),var2(t-21),var3(t-21),var4(t-21),var5(t-21),var1(t-20),var2(t-20),var3(t-20),var4(t-20),var5(t-20),var1(t-19),var2(t-19),var3(t-19),var4(t-19),var5(t-19),var1(t-18),var2(t-18),var3(t-18),var4(t-18),var5(t-18),var1(t-17),var2(t-17),var3(t-17),var4(t-17),var5(t-17),var1(t-16),var2(t-16),var3(t-16),var4(t-16),var5(t-16),var1(t-15),var2(t-15),var3(t-15),var4(t-15),var5(t-15),var1(t-14),var2(t-14),var3(t-14),var4(t-14),var5(t-14),var1(t-13),var2(t-13),var3(t-13),var4(t-13),var5(t-13),var1(t-12),var2(t-12),var3(t-12),var4(t-12),var5(t-12),var1(t-11),var2(t-11),var3(t-11),var4(t-11),var5(t-11),var1(t-10),var2(t-10),var3(t-10),var4(t-10),var5(t-10),var1(t-9),var2(t-9),var3(t-9),var4(t-9),var5(t-9),var1(t-8),var2(t-8),var3(t-8),var4(t-8),var5(t-8),var1(t-7),var2(t-7),var3(t-7),var4(t-7),var5(t-7),var1(t-6),var2(t-6),var3(t-6),var4(t-6),var5(t-6),var1(t-5),var2(t-5),var3(t-5),var4(t-5),var5(t-5),var1(t-4),var2(t-4),var3(t-4),var4(t-4),var5(t-4),var1(t-3),var2(t-3),var3(t-3),var4(t-3),var5(t-3),var1(t-2),var2(t-2),var3(t-2),var4(t-2),var5(t-2),var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var1(t),var2(t),var3(t)
34,-0.22823346,-0.26824188,-0.37298012,0.59137917,-0.10861111,-0.59626704,-0.50034714,-0.5909252,0.711154,-0.3157425,-0.015709162,-0.19596863,-0.22035122,0.5041046,-0.022747993,-0.50015074,-0.3231411,-0.48642254,0.6994295,-0.2421217,-0.047168493,-0.018068314,-0.11997318,0.53063965,0.054512024,-0.43287224,-0.4322443,-0.53661156,0.68450546,-0.25353622,-0.76849276,-0.5350933,-0.6672406,0.8272085,-0.40425205,-0.045281827,-0.04864502,-0.18872547,0.531518,0.054016113,-0.77423966,-0.37942982,-0.6507392,0.8647213,-0.32351685,-0.36369872,-0.2230711,-0.36541748,0.66421604,-0.10612965,-0.7806554,-0.5760946,-0.7655554,0.83575535,-0.54107,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185
35,-0.59626704,-0.50034714,-0.5909252,0.711154,-0.3157425,-0.015709162,-0.19596863,-0.22035122,0.5041046,-0.022747993,-0.50015074,-0.3231411,-0.48642254,0.6994295,-0.2421217,-0.047168493,-0.018068314,-0.11997318,0.53063965,0.054512024,-0.43287224,-0.4322443,-0.53661156,0.68450546,-0.25353622,-0.76849276,-0.5350933,-0.6672406,0.8272085,-0.40425205,-0.045281827,-0.04864502,-0.18872547,0.531518,0.054016113,-0.77423966,-0.37942982,-0.6507392,0.8647213,-0.32351685,-0.36369872,-0.2230711,-0.36541748,0.66421604,-0.10612965,-0.7806554,-0.5760946,-0.7655554,0.83575535,-0.54107,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004
36,-0.015709162,-0.19596863,-0.22035122,0.5041046,-0.022747993,-0.50015074,-0.3231411,-0.48642254,0.6994295,-0.2421217,-0.047168493,-0.018068314,-0.11997318,0.53063965,0.054512024,-0.43287224,-0.4322443,-0.53661156,0.68450546,-0.25353622,-0.76849276,-0.5350933,-0.6672406,0.8272085,-0.40425205,-0.045281827,-0.04864502,-0.18872547,0.531518,0.054016113,-0.77423966,-0.37942982,-0.6507392,0.8647213,-0.32351685,-0.36369872,-0.2230711,-0.36541748,0.66421604,-0.10612965,-0.7806554,-0.5760946,-0.7655554,0.83575535,-0.54107,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719
37,-0.50015074,-0.3231411,-0.48642254,0.6994295,-0.2421217,-0.047168493,-0.018068314,-0.11997318,0.53063965,0.054512024,-0.43287224,-0.4322443,-0.53661156,0.68450546,-0.25353622,-0.76849276,-0.5350933,-0.6672406,0.8272085,-0.40425205,-0.045281827,-0.04864502,-0.18872547,0.531518,0.054016113,-0.77423966,-0.37942982,-0.6507392,0.8647213,-0.32351685,-0.36369872,-0.2230711,-0.36541748,0.66421604,-0.10612965,-0.7806554,-0.5760946,-0.7655554,0.83575535,-0.54107,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568
38,-0.047168493,-0.018068314,-0.11997318,0.53063965,0.054512024,-0.43287224,-0.4322443,-0.53661156,0.68450546,-0.25353622,-0.76849276,-0.5350933,-0.6672406,0.8272085,-0.40425205,-0.045281827,-0.04864502,-0.18872547,0.531518,0.054016113,-0.77423966,-0.37942982,-0.6507392,0.8647213,-0.32351685,-0.36369872,-0.2230711,-0.36541748,0.66421604,-0.10612965,-0.7806554,-0.5760946,-0.7655554,0.83575535,-0.54107,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088
39,-0.43287224,-0.4322443,-0.53661156,0.68450546,-0.25353622,-0.76849276,-0.5350933,-0.6672406,0.8272085,-0.40425205,-0.045281827,-0.04864502,-0.18872547,0.531518,0.054016113,-0.77423966,-0.37942982,-0.6507392,0.8647213,-0.32351685,-0.36369872,-0.2230711,-0.36541748,0.66421604,-0.10612965,-0.7806554,-0.5760946,-0.7655554,0.83575535,-0.54107,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088,0.05159378,-0.7286787,0.62638044,-0.86726856,-0.9339981
40,-0.76849276,-0.5350933,-0.6672406,0.8272085,-0.40425205,-0.045281827,-0.04864502,-0.18872547,0.531518,0.054016113,-0.77423966,-0.37942982,-0.6507392,0.8647213,-0.32351685,-0.36369872,-0.2230711,-0.36541748,0.66421604,-0.10612965,-0.7806554,-0.5760946,-0.7655554,0.83575535,-0.54107,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088,0.05159378,-0.7286787,0.62638044,-0.86726856,-0.9339981,0.11584854,-0.84316254,0.51166916,-0.73731804,-0.8439326
41,-0.045281827,-0.04864502,-0.18872547,0.531518,0.054016113,-0.77423966,-0.37942982,-0.6507392,0.8647213,-0.32351685,-0.36369872,-0.2230711,-0.36541748,0.66421604,-0.10612965,-0.7806554,-0.5760946,-0.7655554,0.83575535,-0.54107,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088,0.05159378,-0.7286787,0.62638044,-0.86726856,-0.9339981,0.11584854,-0.84316254,0.51166916,-0.73731804,-0.8439326,0.0885458,-0.7427416,0.6791636,-0.748436,-0.8184943
42,-0.77423966,-0.37942982,-0.6507392,0.8647213,-0.32351685,-0.36369872,-0.2230711,-0.36541748,0.66421604,-0.10612965,-0.7806554,-0.5760946,-0.7655554,0.83575535,-0.54107,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088,0.05159378,-0.7286787,0.62638044,-0.86726856,-0.9339981,0.11584854,-0.84316254,0.51166916,-0.73731804,-0.8439326,0.0885458,-0.7427416,0.6791636,-0.748436,-0.8184943,0.09245396,-0.7675581,0.7366203,-0.68658733,-0.7868686
43,-0.36369872,-0.2230711,-0.36541748,0.66421604,-0.10612965,-0.7806554,-0.5760946,-0.7655554,0.83575535,-0.54107,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088,0.05159378,-0.7286787,0.62638044,-0.86726856,-0.9339981,0.11584854,-0.84316254,0.51166916,-0.73731804,-0.8439326,0.0885458,-0.7427416,0.6791636,-0.748436,-0.8184943,0.09245396,-0.7675581,0.7366203,-0.68658733,-0.7868686,0.04867649,-0.55314827,0.7406126,-0.7067404,-0.85630846
44,-0.7806554,-0.5760946,-0.7655554,0.83575535,-0.54107,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088,0.05159378,-0.7286787,0.62638044,-0.86726856,-0.9339981,0.11584854,-0.84316254,0.51166916,-0.73731804,-0.8439326,0.0885458,-0.7427416,0.6791636,-0.748436,-0.8184943,0.09245396,-0.7675581,0.7366203,-0.68658733,-0.7868686,0.04867649,-0.55314827,0.7406126,-0.7067404,-0.85630846,0.06674099,-0.7710314,0.64682066,-0.7762337,-0.8556204
45,-0.82089204,-0.5837383,-0.7483673,0.8387461,-0.45520687,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088,0.05159378,-0.7286787,0.62638044,-0.86726856,-0.9339981,0.11584854,-0.84316254,0.51166916,-0.73731804,-0.8439326,0.0885458,-0.7427416,0.6791636,-0.748436,-0.8184943,0.09245396,-0.7675581,0.7366203,-0.68658733,-0.7868686,0.04867649,-0.55314827,0.7406126,-0.7067404,-0.85630846,0.06674099,-0.7710314,0.64682066,-0.7762337,-0.8556204,0.09146309,-0.67540836,0.43847036,-0.7929115,-0.87212133
46,-0.04555434,-0.21403694,-0.27329063,0.49512863,0.020266533,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088,0.05159378,-0.7286787,0.62638044,-0.86726856,-0.9339981,0.11584854,-0.84316254,0.51166916,-0.73731804,-0.8439326,0.0885458,-0.7427416,0.6791636,-0.748436,-0.8184943,0.09245396,-0.7675581,0.7366203,-0.68658733,-0.7868686,0.04867649,-0.55314827,0.7406126,-0.7067404,-0.85630846,0.06674099,-0.7710314,0.64682066,-0.7762337,-0.8556204,0.09146309,-0.67540836,0.43847036,-0.7929115,-0.87212133,0.13335228,-0.745389,0.6142632,-0.85406494,-0.92162323
47,-0.34375793,-0.25642776,-0.4156065,0.62163544,-0.13640594,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088,0.05159378,-0.7286787,0.62638044,-0.86726856,-0.9339981,0.11584854,-0.84316254,0.51166916,-0.73731804,-0.8439326,0.0885458,-0.7427416,0.6791636,-0.748436,-0.8184943,0.09245396,-0.7675581,0.7366203,-0.68658733,-0.7868686,0.04867649,-0.55314827,0.7406126,-0.7067404,-0.85630846,0.06674099,-0.7710314,0.64682066,-0.7762337,-0.8556204,0.09146309,-0.67540836,0.43847036,-0.7929115,-0.87212133,0.13335228,-0.745389,0.6142632,-0.85406494,-0.92162323,0.07833481,-0.7913809,0.8883356,-0.75747013,-0.8150568
48,0.31639802,-0.48783875,-0.66999006,0.2828045,-0.55331326,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088,0.05159378,-0.7286787,0.62638044,-0.86726856,-0.9339981,0.11584854,-0.84316254,0.51166916,-0.73731804,-0.8439326,0.0885458,-0.7427416,0.6791636,-0.748436,-0.8184943,0.09245396,-0.7675581,0.7366203,-0.68658733,-0.7868686,0.04867649,-0.55314827,0.7406126,-0.7067404,-0.85630846,0.06674099,-0.7710314,0.64682066,-0.7762337,-0.8556204,0.09146309,-0.67540836,0.43847036,-0.7929115,-0.87212133,0.13335228,-0.745389,0.6142632,-0.85406494,-0.92162323,0.07833481,-0.7913809,0.8883356,-0.75747013,-0.8150568,0.008583069,-0.63934135,0.7629893,-0.72272396,-0.82261944
49,0.41604412,-0.8902006,-0.90168476,0.11506271,-0.74571896,0.57266414,-0.8693533,-0.9360609,0.09262276,-0.8578863,0.8841038,-0.7546902,-0.8398075,0.043851852,-0.7490282,0.5112481,-0.80959034,-0.7978692,0.06659126,-0.69774246,0.61712825,-0.8561506,-0.92299795,0.09744644,-0.8795595,0.39220607,-0.77484417,-0.80680656,0.09273434,-0.6304083,0.81240773,-0.7025709,-0.80405664,0.022571564,-0.70369816,0.62448955,-0.69701195,-0.77930593,0.08959293,-0.64016914,0.48212123,-0.8888111,-0.88105917,0.075455666,-0.6826868,0.5044608,-0.6990957,-0.7731185,0.09213638,-0.6803713,0.5378028,-0.89576054,-0.91681004,0.107133865,-0.84895325,0.5248804,-0.87213326,-0.8858719,0.0562315,-0.7740097,0.7114115,-0.7394018,-0.7985568,0.017559052,-0.6639919,0.85124075,-0.7908268,-0.8618088,0.05159378,-0.7286787,0.62638044,-0.86726856,-0.9339981,0.11584854,-0.84316254,0.51166916,-0.73731804,-0.8439326,0.0885458,-0.7427416,0.6791636,-0.748436,-0.8184943,0.09245396,-0.7675581,0.7366203,-0.68658733,-0.7868686,0.04867649,-0.55314827,0.7406126,-0.7067404,-0.85630846,0.06674099,-0.7710314,0.64682066,-0.7762337,-0.8556204,0.09146309,-0.67540836,0.43847036,-0.7929115,-0.87212133,0.13335228,-0.745389,0.6142632,-0.85406494,-0.92162323,0.07833481,-0.7913809,0.8883356,-0.75747013,-0.8150568,0.008583069,-0.63934135,0.7629893,-0.72272396,-0.82261944,0.09815788,-0.72255707,0.8934425,-0.73384285,-0.7978692
